sql_limit,varied,weight,archetype,score
20000,energy,0.200000,dataThroughTtp-cached,0.923692
20000,energy,0.200000,computeToData-cached,0.891901
20000,energy,0.200000,computeToData-compressed,0.255090
20000,energy,0.200000,computeToData,0.238623
20000,energy,0.200000,dataThroughTtp-compressed,0.109622
20000,energy,0.200000,dataThroughTtp,0.108282
20000,energy,0.250000,dataThroughTtp-cached,0.931382
20000,energy,0.250000,computeToData-cached,0.902887
20000,energy,0.250000,computeToData-compressed,0.245052
20000,energy,0.250000,computeToData,0.226686
20000,energy,0.250000,dataThroughTtp-compressed,0.098303
20000,energy,0.250000,dataThroughTtp,0.097355
20000,energy,0.300000,dataThroughTtp-cached,0.939299
20000,energy,0.300000,computeToData-cached,0.914311
20000,energy,0.300000,computeToData-compressed,0.235723
